"Age ","Sex ","Program of study","College","Level Study","Branch","Have a job","Attending method prefer more","experience in handling e-Learning platform tools","total number of lectures prefer to attend daily ","frequently contact instructor to ask inquiries ","motivated using the interfaces of the e-Learning Platform? ","interested in revising the recorded lectures on the e-Learning platform ","preferred level of interactivity type ","","Type of assessment activity preferred most? ","Preferred  semantic density (amount of content) displayed in a single power point slide","Preferred electronic device to access the course contents","Preferred background color for your e-Learning platform? ","Preferred text color for your course text contents? ","learning resource preferred most"
"30","1","17","1","8","4","1","2","1","3","1","1","1","1","","1","2","3","5","2","9"
"30","1","17","2","3","2","2","2","2","6","2","2","1","2","","4","1","2","2","5","9"
"20","1","1","3","4","4","1","1","1","5","3","1","3","3","","4","1","3","5","2","9"
"21","2","11","4","3","6","2","2","3","3","3","3","1","3","","1","3","2","1","2","2"
"33","1","8","3","5","6","1","2","1","5","2","3","3","2","","4","2","2","3","2","7"
"23","1","9","4","4","7","1","2","1","3","2","3","1","1","","2","1","1","4","1","8"
"21","2","5","2","5","7","2","2","1","3","2","2","3","1","","1","2","2","1","1","2"
"38","1","9","4","1","1","1","2","1","5","2","1","1","3","","2","1","2","3","1","1"
"34","2","5","2","5","6","2","2","1","4","2","1","1","2","","1","2","2","3","1","1"
"33","1","8","3","5","6","1","2","1","5","2","3","3","2","","4","2","2","3","1","7"
"20","1","6","2","4","7","2","3","1","4","2","3","3","2","","1","1","2","3","1","2"
"24","1","5","2","4","7","1","3","1","3","2","3","3","3","","4","2","2","3","1","1"
"28","1","5","2","4","7","2","3","1","5","2","3","1","2","","1","1","4","1","2","1"
"29","1","5","2","4","7","1","2","1","4","3","2","3","1","","2","1","2","3","1","5"
"28","1","5","2","4","7","1","3","2","2","2","3","1","2","","1","2","2","2","1","2"
"32","1","5","2","5","7","1","2","1","4","2","1","1","4","","1","1","3","3","2","6"
"31","1","5","2","4","7","1","3","1","4","2","3","1","2","","4","2","3","2","10","2"
"20","1","5","2","4","7","1","1","1","4","2","3","3","2","","2","2","2","2","1","1"
"25","1","5","2","4","7","1","2","2","4","3","2","3","1","","4","2","2","1","1","4"
"32","1","5","2","4","7","1","2","1","2","2","1","3","1","","4","3","1","3","1","6"
"31","1","5","2","3","7","1","2","2","5","2","3","3","4","","6","1","2","10","1","5"
"27","1","5","2","4","7","1","3","1","4","3","1","1","1","","4","3","1","3","1","5"
"31","1","5","2","4","7","1","3","1","4","2","1","1","2","","4","1","3","2","10","2"
"32","1","5","2","4","7","1","2","1","2","2","1","1","2","","2","3","2","3","1","6"
"25","1","5","2","5","7","1","2","1","4","2","1","3","1","","4","2","1","2","1","3"
"38","1","5","2","4","7","1","3","3","5","3","3","3","1","","1","2","3","3","1","2"
"31","1","5","2","4","7","1","3","1","4","2","1","3","2","","4","2","3","2","10","2"
"29","1","5","2","4","7","1","2","2","4","2","3","3","3","","1","2","2","1","1","3"
"45","1","5","2","4","7","1","3","2","2","3","2","2","1","","1","3","2","2","1","7"
"25","1","5","2","4","7","2","1","2","5","1","3","3","3","","1","2","2","2","2","1"
"38","1","5","2","4","7","1","3","3","5","3","3","3","1","","1","2","3","3","1","2"
"38","1","5","2","4","7","1","3","3","5","3","3","3","1","","1","2","3","3","1","2"
"31","1","5","2","4","7","1","3","1","4","2","1","3","2","","4","2","3","2","10","2"
"28","1","5","2","3","7","1","3","1","3","2","3","3","2","","1","2","2","1","3","6"
"19","1","5","2","3","7","2","2","1","2","2","2","1","2","","2","3","1","1","1","7"
"19","1","5","2","3","7","1","3","2","1","3","2","3","1","","2","3","1","1","1","2"
"29","1","5","2","3","7","1","1","2","5","1","3","1","1","","2","2","2","2","2","6"
"24","1","5","2","3","7","1","3","1","4","2","3","1","2","","6","2","2","3","1","5"
